instance,objective,status,status_category,average_obj,total_instances,optimal_count,feasible_count,solution_not_found_count,infeasible_count,optimal_percentage,feasible_percentage,solution_not_found_percentage,infeasible_percentage,2_feasible_count,2_feasible_percentage
28,37.732524479999995,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
29,31.10683480174,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
30,37.17827988,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
31,41.69963328,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
32,41.159985590000005,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
33,31.314843967208002,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
34,34.83801202,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
35,38.15212145133,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
36,32.20906803,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
37,36.868559770000005,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
38,32.799155719999995,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
39,28.28990218,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
40,26.96170426414,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
41,33.49997725619001,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
42,42.44982414,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
43,24.30184369018,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
44,23.799065065560004,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
45,36.98740086,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
46,35.87087341157,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
47,27.81646733,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
48,41.991920109999995,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
49,30.824990415916,2_feasible,2,34.254990876467794,50,0,50,0,0,0.0,100.0,0.0,0.0,50,100.0
