init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
156.0,4.4338,0.0284,3750.0,0.9169,0.0284,0.9716,58,0.315,30M_30N_5T,Large,42
176.0,9.2568,0.0526,3360.0,0.9739,0.0526,0.9474,53,0.308,30M_30N_5T,Large,43
172.0,4.8055,0.0279,3910.0,0.9631,0.0279,0.9721,60,0.319,30M_30N_5T,Large,44
181.0,7.3158,0.0404,3670.0,0.9633,0.0404,0.9596,54,0.311,30M_30N_5T,Large,45
147.0,4.487,0.0305,3420.0,0.9828,0.0305,0.9695,60,0.32,30M_30N_5T,Large,46
186.0,3.9172,0.0211,3880.0,0.9798,0.0211,0.9789,64,0.321,30M_30N_5T,Large,47
166.0,4.0762,0.0246,3260.0,0.8981,0.0246,0.9754,61,0.318,30M_30N_5T,Large,48
190.0,3.3858,0.0178,3790.0,0.9475,0.0178,0.9822,65,0.566,30M_30N_5T,Large,49
171.0,39.6862,0.2321,3800.0,0.9596,0.2321,0.7679,60,0.7007,30M_30N_10T,Large,0
183.0,30.5373,0.1669,3220.0,0.9306,0.1669,0.8331,55,0.563,30M_30N_10T,Large,1
160.0,24.7125,0.1545,3640.0,0.9681,0.1545,0.8455,54,0.559,30M_30N_10T,Large,2
165.0,33.6315,0.2038,3000.0,0.9288,0.2038,0.7962,54,0.567,30M_30N_10T,Large,3
190.0,40.3068,0.2121,3490.0,0.9357,0.2121,0.7879,62,0.569,30M_30N_10T,Large,4
177.0,18.3218,0.1035,4290.0,0.9931,0.1035,0.8965,63,0.57,30M_30N_10T,Large,5
169.0,47.1516,0.279,3240.0,0.9558,0.279,0.721,59,0.567,30M_30N_10T,Large,6
156.0,31.2176,0.2001,2680.0,0.971,0.2001,0.7999,53,0.557,30M_30N_10T,Large,7
189.0,27.3236,0.1446,3380.0,0.9494,0.1446,0.8554,52,0.554,30M_30N_10T,Large,8
169.0,52.8251,0.3126,3090.0,0.8879,0.3126,0.6874,46,0.742,30M_30N_10T,Large,9
135.0,18.0071,0.1334,3650.0,0.9865,0.1334,0.8666,59,0.9799,30M_30N_10T,Large,10
153.0,45.54,0.2976,2970.0,0.911,0.2976,0.7024,57,1.2509,30M_30N_10T,Large,11
189.0,4.7535,0.0252,3830.0,0.9504,0.0252,0.9748,68,0.7777,30M_30N_10T,Large,12
193.0,26.9593,0.1397,2910.0,0.8792,0.1397,0.8603,46,0.741,30M_30N_10T,Large,13
167.0,33.6529,0.2015,2980.0,0.9313,0.2015,0.7985,54,0.758,30M_30N_10T,Large,14
182.0,39.6436,0.2178,3150.0,0.7412,0.2178,0.7822,51,0.646,30M_30N_10T,Large,15
