init_value,remaining_value,remaining_norm,total_cost,cost_norm,objective,destruction,fires,time_s,size,scale,instance
283.0,122.5605,0.4331,6290.0,1.0,0.4331,0.5669,111,0.9215,50M_50N_10T,Large,0
241.0,92.3367,0.3831,6440.0,1.0,0.3831,0.6169,101,0.9426,50M_50N_10T,Large,1
285.0,106.8567,0.3749,6120.0,1.0,0.3749,0.6251,105,1.2297,50M_50N_10T,Large,2
255.0,193.9144,0.7604,3650.0,0.6315,0.7604,0.2396,62,1.1256,50M_50N_10T,Large,3
309.0,115.7383,0.3746,5670.0,1.0,0.3746,0.6254,100,0.9058,50M_50N_10T,Large,4
276.0,200.1111,0.725,3860.0,0.6678,0.725,0.275,68,0.8518,50M_50N_10T,Large,5
293.0,124.2607,0.4241,5560.0,1.0,0.4241,0.5759,93,1.9072,50M_50N_10T,Large,6
262.0,112.5634,0.4296,6070.0,1.0,0.4296,0.5704,103,1.222,50M_50N_10T,Large,7
313.0,142.8223,0.4563,5450.0,1.0,0.4563,0.5437,104,1.2125,50M_50N_10T,Large,8
252.0,94.9715,0.3769,6310.0,1.0,0.3769,0.6231,102,1.1267,50M_50N_10T,Large,9
265.0,87.3418,0.3296,6570.0,1.0,0.3296,0.6704,109,0.9666,50M_50N_10T,Large,10
242.0,203.6046,0.8413,3010.0,0.6206,0.8413,0.1587,51,0.8439,50M_50N_10T,Large,11
313.0,142.2039,0.4543,6480.0,1.0,0.4543,0.5457,102,0.8995,50M_50N_10T,Large,12
281.0,136.3504,0.4852,5890.0,1.0,0.4852,0.5148,100,2.0682,50M_50N_10T,Large,13
284.0,108.8505,0.3833,6260.0,1.0,0.3833,0.6167,101,1.2157,50M_50N_10T,Large,14
286.0,108.4425,0.3792,6030.0,1.0,0.3792,0.6208,100,1.1002,50M_50N_10T,Large,15
288.0,91.106,0.3163,6430.0,1.0,0.3163,0.6837,102,0.9508,50M_50N_10T,Large,16
278.0,149.1515,0.5365,5020.0,1.0,0.5365,0.4635,87,0.8838,50M_50N_10T,Large,17
277.0,116.9954,0.4224,5710.0,1.0,0.4224,0.5776,92,0.9384,50M_50N_10T,Large,18
245.0,101.2613,0.4133,5380.0,1.0,0.4133,0.5867,93,0.9099,50M_50N_10T,Large,19
285.0,131.0165,0.4597,6610.0,1.0,0.4597,0.5403,97,0.9316,50M_50N_10T,Large,20
272.0,87.6916,0.3224,5730.0,1.0,0.3224,0.6776,108,0.9121,50M_50N_10T,Large,21
291.0,134.5438,0.4623,6460.0,1.0,0.4623,0.5377,103,1.2472,50M_50N_10T,Large,22
266.0,122.5637,0.4608,5880.0,1.0,0.4608,0.5392,101,0.9396,50M_50N_10T,Large,23
278.0,119.4764,0.4298,6300.0,1.0,0.4298,0.5702,108,0.9121,50M_50N_10T,Large,24
278.0,162.4832,0.5845,3800.0,0.6934,0.5845,0.4155,73,0.8992,50M_50N_10T,Large,25
271.0,80.8206,0.2982,5280.0,1.0,0.2982,0.7018,94,0.9334,50M_50N_10T,Large,26
301.0,104.8014,0.3482,5810.0,1.0,0.3482,0.6518,98,1.0993,50M_50N_10T,Large,27
267.0,90.2081,0.3379,5670.0,1.0,0.3379,0.6621,104,1.2475,50M_50N_10T,Large,28
253.0,81.3109,0.3214,5950.0,1.0,0.3214,0.6786,99,1.081,50M_50N_10T,Large,29
284.0,121.9601,0.4294,5950.0,1.0,0.4294,0.5706,98,0.9557,50M_50N_10T,Large,30
295.0,131.4878,0.4457,5450.0,1.0,0.4457,0.5543,95,0.9187,50M_50N_10T,Large,31
301.0,232.8054,0.7734,4590.0,0.68,0.7734,0.2266,76,0.9137,50M_50N_10T,Large,32
268.0,100.3934,0.3746,5730.0,1.0,0.3746,0.6254,94,1.1315,50M_50N_10T,Large,33
266.0,119.4436,0.449,5410.0,1.0,0.449,0.551,89,1.1327,50M_50N_10T,Large,34
250.0,192.5541,0.7702,3820.0,0.6025,0.7702,0.2298,61,1.0802,50M_50N_10T,Large,35
293.0,143.8753,0.491,4640.0,1.0,0.491,0.509,93,1.2175,50M_50N_10T,Large,36
240.0,113.7218,0.4738,5960.0,1.0,0.4738,0.5262,105,0.9393,50M_50N_10T,Large,37
269.0,246.3767,0.9159,3540.0,0.6288,0.9159,0.0841,63,1.4471,50M_50N_10T,Large,38
251.0,126.739,0.5049,6490.0,1.0,0.5049,0.4951,109,2.1423,50M_50N_10T,Large,39
285.0,238.1526,0.8356,3870.0,0.6153,0.8356,0.1644,61,0.9466,50M_50N_10T,Large,40
275.0,174.8849,0.6359,4560.0,0.7716,0.6359,0.3641,78,0.9873,50M_50N_10T,Large,41
281.0,123.1158,0.4381,5950.0,1.0,0.4381,0.5619,104,0.9722,50M_50N_10T,Large,42
277.0,132.6984,0.4791,5980.0,1.0,0.4791,0.5209,97,0.9025,50M_50N_10T,Large,43
273.0,188.4324,0.6902,4370.0,0.686,0.6902,0.3098,70,0.863,50M_50N_10T,Large,44
271.0,126.5642,0.467,5910.0,1.0,0.467,0.533,100,0.8864,50M_50N_10T,Large,45
283.0,235.3866,0.8318,4350.0,0.6651,0.8318,0.1682,67,0.8476,50M_50N_10T,Large,46
300.0,139.0442,0.4635,6030.0,1.0,0.4635,0.5365,104,1.05,50M_50N_10T,Large,47
282.0,106.1028,0.3763,6320.0,1.0,0.3763,0.6237,103,1.1731,50M_50N_10T,Large,48
283.0,108.0982,0.382,6390.0,1.0,0.382,0.618,105,0.9075,50M_50N_10T,Large,49
